strength,attention,meditation,deltha,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma
51,0,0,1990366,156444,21329,16356,8830,177976,176023,39343
51,0,0,1617095,69912,62107,37704,17021,242833,156135,70641
51,0,0,33656,73895,12417,4168,7727,201037,46002,15024
51,0,0,1878214,119302,9447,89987,55020,188473,204690,43410
80,0,0,13530,60048,5005,21231,14151,184615,44957,25769
51,0,0,1866525,129923,64919,60270,27235,97767,223175,91464
51,0,0,1254729,74730,30198,9988,15897,267188,191594,91074
80,0,0,1336997,286020,37414,80757,136386,351176,354824,68526
51,0,0,1155827,247436,99726,66738,56979,191850,318250,75308
51,0,0,1167535,86829,43174,9889,24613,334316,268754,39522
80,0,0,866499,121603,70951,65076,80873,294893,422531,101305
51,0,0,1030076,203326,50305,40793,42469,146479,202264,64488
51,0,0,1926120,122561,30757,26811,53857,162084,198619,69801
80,0,0,700565,241617,39328,79986,58369,297666,132252,59172
51,0,0,562222,141002,22507,59780,16912,171472,200700,52352
51,0,0,1489003,199537,38470,37660,83329,177228,174298,66031
51,0,0,415554,72301,28762,12825,74512,214587,215376,84674
80,0,0,82625,71096,28231,27378,20984,59082,45360,39861
51,0,0,686989,404373,139653,71324,49418,225222,316439,87331
51,0,0,71261,25839,8614,6313,1562,74868,78562,18957
80,0,0,651513,271751,77501,30793,43540,141026,226701,66785
51,0,0,495430,125943,16315,58694,43357,155756,248515,17173
51,0,0,2922949,1438103,131406,243948,284941,654616,1074140,404222
51,0,0,497606,118380,144263,60540,98891,155791,209932,92319
80,0,0,64149,61556,10160,12015,14710,128834,45403,30998
51,0,0,701458,162813,32764,43480,40621,285117,549913,50141
51,0,0,515377,296847,25485,43718,33116,177529,203695,39272
51,0,0,695815,163673,78124,76049,54778,197169,283756,150132
80,0,0,652465,158705,67130,21223,24566,192036,107211,150859
51,0,0,828926,270257,50498,62092,99037,348853,463234,124929
51,0,0,515231,115393,74326,65550,47964,309155,287911,79663
80,0,0,682196,228279,6006,45937,51515,506109,552181,46447
51,0,0,1047601,38372,23051,22543,26344,238053,178150,61899
51,0,0,33754,39984,19878,20207,14273,63269,41951,29653
51,0,0,470652,140174,28572,25304,35254,105964,151884,58065
80,0,0,110465,103004,7748,9128,17007,72194,45397,14296
51,0,0,431161,106818,6697,13357,32141,222934,256372,37957
